ref_area,ref_area.label,source,source.label,indicator,indicator.label,sex,sex.label,classif1,classif1.label,classif2,classif2.label,time,obs_value,obs_status,obs_status.label,note_classif,note_classif.label,note_indicator,note_indicator.label,note_source,note_source.label
KEN,Kenya,XA:1909,ILO - Modelled Estimates,EMP_2EMP_SEX_ECO_NB,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",SEX_T,Sex: Total,ECO_SECTOR_TOTAL,Economic activity (Broad sector): Total,,,2021,22755.313,,,,,,,,
KEN,Kenya,XA:1909,ILO - Modelled Estimates,EMP_2EMP_SEX_ECO_NB,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",SEX_T,Sex: Total,ECO_SECTOR_AGR,Economic activity (Broad sector): Agriculture,,,2021,7516.948,,,,,,,,
KEN,Kenya,XA:1909,ILO - Modelled Estimates,EMP_2EMP_SEX_ECO_NB,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",SEX_T,Sex: Total,ECO_SECTOR_IND,Economic activity (Broad sector): Industry,,,2021,3578.747,,,,,,,,
KEN,Kenya,XA:1909,ILO - Modelled Estimates,EMP_2EMP_SEX_ECO_NB,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",SEX_T,Sex: Total,ECO_SECTOR_SER,Economic activity (Broad sector): Services,,,2021,11659.617,,,,,,,,
KEN,Kenya,XA:1909,ILO - Modelled Estimates,EMP_2EMP_SEX_ECO_NB,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",SEX_M,Sex: Male,ECO_SECTOR_TOTAL,Economic activity (Broad sector): Total,,,2021,11502.002,,,,,,,,
KEN,Kenya,XA:1909,ILO - Modelled Estimates,EMP_2EMP_SEX_ECO_NB,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",SEX_M,Sex: Male,ECO_SECTOR_AGR,Economic activity (Broad sector): Agriculture,,,2021,3601.859,,,,,,,,
KEN,Kenya,XA:1909,ILO - Modelled Estimates,EMP_2EMP_SEX_ECO_NB,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",SEX_M,Sex: Male,ECO_SECTOR_IND,Economic activity (Broad sector): Industry,,,2021,2375.755,,,,,,,,
KEN,Kenya,XA:1909,ILO - Modelled Estimates,EMP_2EMP_SEX_ECO_NB,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",SEX_M,Sex: Male,ECO_SECTOR_SER,Economic activity (Broad sector): Services,,,2021,5524.387,,,,,,,,
KEN,Kenya,XA:1909,ILO - Modelled Estimates,EMP_2EMP_SEX_ECO_NB,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",SEX_F,Sex: Female,ECO_SECTOR_TOTAL,Economic activity (Broad sector): Total,,,2021,11253.311,,,,,,,,
KEN,Kenya,XA:1909,ILO - Modelled Estimates,EMP_2EMP_SEX_ECO_NB,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2022 (thousands)",SEX_F,Sex: Female,ECO_SECTOR_AGR,Economic activity (Broad sector): Agriculture,,,2021,3918.582,,,,,,,,
